song names,song genre
Feel Good Inc. - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
Maze - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
SAD! - XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']"
HIGHEST IN THE ROOM - Travis Scott,"['hip hop', 'rap', 'slap house']"
Fast - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
Empty - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
Robbery - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
Venetia - Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Nice For What - Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Self Control - YoungBoy Never Broke Again,"['baton rouge rap', 'rap']"
We da Mob - JayO Sama,['florida rap']
Who is U - Lil Gnar,"['atl hip hop', 'melodic rap']"
Life Is Good (feat. Drake) - Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Ric Flair Drip (with Metro Boomin) - Offset,"['atl hip hop', 'hip hop', 'rap']"
Hear Me Calling - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
Fuck Love - XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']"
Love Scars 3 - Trippie Redd,"['melodic rap', 'rap', 'trap']"
You Was Right - Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Taking A Walk - Trippie Redd,"['melodic rap', 'rap', 'trap']"
Topanga - Trippie Redd,"['melodic rap', 'rap', 'trap']"
TECHNO + TEQUILA (feat. Morgan Harvill) - Disco Lines,['stutter house']
Menace II Society - Mall Grab,"['aussietronica', 'australian house', 'lo-fi house']"
leavemealone - Fred again..,"['edm', 'house', 'stutter house']"
Distance - Volac Remix - Apashe,['bass trap']
Don't Hurt Me - Cache,[]
I'm Fine - IMANU Remix - Apashe,['bass trap']
Could Heaven Ever Be Like This - Walker & Royce and Chris Lorenzo Remix - Idris Muhammad,"['jazz funk', 'new orleans funk', 'soul jazz']"
Summer 99 - Tchami,"['deep groove house', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive house']"
